ai_async_queue_debug | sv | Default: 0<br>Dump the ai async work queue jobs each tick.  0 = off, 1 = on, 2 = also dump entries
r_citadel_depth_prepass_cull_threshold | cl | Default: 60<br>
r_citadel_distancefield_max_distance | cl | Default: 2048<br>Maximum distance before culling
r_citadel_distancefield_min_screen_space_size | cl | Default: 0.015<br>Minimum screen space size before culling
r_citadel_distancefield_shadows | cl | Default: true<br>
r_citadel_fog_quality | cl | Default: 1<br>Fog Quality
r_citadel_gpu_culling | cl | Default: true<br>Citadel/Graphics/GPU Culling
r_citadel_gpu_culling_shadows | cl | Default: true<br>Citadel/Graphics/GPU Cull Shadow Views
r_citadel_gpu_culling_two_pass | cl | Default: true<br>Citadel/Graphics/GPU Culling (Two Pass)
r_citadel_gpu_preview_baked_shadows | cl | Default: true<br>
r_citadel_gpu_preview_denoise_shadow_passes | cl | Default: 1<br>
r_citadel_shadow_caching | cl | Default: true<br>
r_citadel_shadow_caching_stats | cl | Print information about shadow caching
r_citadel_shadow_quality | cl | Default: 1<br>Shadow Quality
r_citadel_shadowdb | cl | Default: 2048<br>
r_citadel_sun_shadow_slope_scale_depth_bias | cl | Default: 1<br>
r_enable_cubemap_fog | cl | Default: false<br>Citadel/Graphics/Fog/Enable Cubemap Fog
r_enable_gradient_fog | cl | Default: false<br>Citadel/Graphics/Fog/Enable Gradient Fog
r_enable_volume_fog | cl | Default: false<br>Citadel/Graphics/Fog/Enable Volume Fog
r_fallback_texture_lod_scale | cheat | Default: 2<br>Scale factor for requested texture size (texture streaming) - used for geo that doesn't have a precomputed UV density measure
r_farz | cl, cheat | Default: -1<br>Override the far clipping plane. -1 means to use the value in env_fog_controller.
r_flashlightshadowatten | cl, cheat | Default: 0.35<br>
r_freezeparticles | cheat | Default: false<br>Pause particle simulation
r_hair_shadowtile |  | Default: true<br>
r_haircull_percent | cheat | Default: -1<br>
r_legacy_vsync |  | Default: false<br>Use legacy vsync mode -- for testing for a couple user machines.
r_max_texture_pool_size |  | Default: 0<br>Upper limit on texture pool size.
r_mixed_shadows_fade_in_time | sv, cl, rep | Default: 0.5<br>
r_mixed_shadows_fade_out_time | sv, cl, rep | Default: 0.5<br>
r_particle_cables_cast_shadows |  | Default: false<br>
r_particle_cables_culling |  | Default: 1<br>
r_particle_cables_culling_bounds_scale |  | Default: 1.2<br>
r_particle_debug_force_simulation |  | Default: 0<br>-1 for all asleep, 1 for all awake
r_particle_enable_fastpath |  | Default: true<br>
r_particle_gpu_implicit_cull_columns |  | Default: true<br>
r_particle_max_size_cull |  | Default: 800<br>Particle systems larger than this in every dimension skip culling to save CPU.  They will be drawn anyway.
r_particle_max_texture_layers |  | Default: -1<br>
r_particle_min_timestep |  | Default: 0<br>A minimum on particle simulation time, particle simulation happening more frequently than this will lerp.
r_particle_model_per_thread_count |  | Default: 32<br>
r_particle_render_refreshes_sleep_timer |  | Default: true<br>Disable to get a better look at what's happening offscreen
r_particle_skip_postsim |  | Default: false<br>
r_particles_memset_at_init |  | Default: 1<br>0=don't clear particle attrs at init 1=clear to zero 2=clear to 0xdb -1=clear to zero at first sim
r_pipeline_stats_flush_before_sleeping |  | Default: false<br>Experimental: Set to 1 to enable GPU pipeline flushes right before the render thread sleeps to wait for more work.
r_print_texture_stats |  | Texture stats
r_renderdoc_auto_shader_pdbs |  | Default: true<br>Automatically generate shader debug info on capture
r_shadows | cheat | Default: false<br>
r_shadowtile_waveops |  | Default: false<br>
r_showsunshadowdebugrendertargets | cheat | Default: false<br>Set to render sun shadow render targets
r_showsunshadowdebugsplitvis | cheat | Default: false<br>Set to render sun shadow split visibility debugger
r_size_cull_threshold |  | Default: 1.2<br>Threshold of screen size percentage below which objects get culled
r_size_cull_threshold_fade |  | Default: 0<br>% above the screen size percentage where we will start fading out (==0 will disable fading).
r_size_cull_threshold_shadow | cheat | Default: 100<br>Threshold of shadow map size percentage below which objects get culled
r_skip_precache_validation_check |  | Default: false<br>
r_texture_budget_dynamic |  | Default: true<br>Dynamically adjust texture streaming budget based on GPU memory usage.
r_texture_budget_threshold |  | Default: 0.9<br>Reduce texture memory pool size when this percentage of the budget is full.
r_texture_budget_update_period |  | Default: 0.1<br>Time (in seconds) between updating texture memory budget.
r_texture_eager_eviction |  | Default: false<br>
r_texture_hookup_uses_threadpool |  | Default: true<br>Async Texture hookup uses its own threadpool instead of the global pool.
r_texture_lod_scale | cheat | Default: 1<br>Scale factor for requested texture size (texture streaming)
r_texture_nonstreaming_load |  | Default: true<br>Allow immediately loading mips of textures (when possible) when their headers are loaded, saving IO & reducing latency.
r_texture_pool_increase_rate |  | Default: 64<br>Increase texture memory pool size by this many MB / s when under budget.
r_texture_pool_reduce_rate |  | Default: 256<br>Reduce texture memory pool size by this many MB / s when over budget.
r_texture_pool_size |  | Default: 1600<br>Total size of the texture pool in MB
r_texture_stream_max_resolution |  | Default: 2147483647<br>Maximum resolution for top mip level in streaming textures
r_texture_stream_mip_bias |  | Default: 0<br>Biases the mip level the texture streaming system choses to stream for each texture.
r_texture_stream_resolution_bias |  | Default: 1<br>
r_texture_stream_resolution_bias_decrease_rate |  | Default: 0.1<br>
r_texture_stream_resolution_bias_increase_rate |  | Default: 0.05<br>
r_texture_stream_resolution_bias_min |  | Default: 1<br>
r_texture_stream_resolution_bias_update_period |  | Default: 0.5<br>
r_texture_stream_throttle_amount |  | Default: 10<br>
r_texture_stream_throttle_count |  | Default: 3<br>
r_texture_stream_throttle_count_over_budget |  | Default: 1<br>
r_texture_streaming_timesliced |  | Default: true<br>
r_texture_streamout_unthrottle_ms |  | Default: 0.2<br>After hitting throttling limits for streamout, allow it to continue up to this number of milliseconds.
r_texturefilteringquality |  | Default: 0<br>0: Bilinear, 1: Trilinear, 2: Aniso 2x, 3: Aniso 4x, 4: Aniso 8x, 5: Aniso 16x
r_textures_evict_all |  | Evict all resident texture.
r_threaded_particle_creation |  | Default: true<br>
r_threaded_particles |  | Default: true<br>
r_threaded_scene_object_update | cl | Default: true<br>
r_use_memory_budget_model |  | Default: false<br>Use a model of GPU memory use to determine budget rather than querying the OS.
r_validate_texture_streaming |  | Default: false<br>Dumps state of texture streaming at the next frame boundary.
ragdoll_parallel_pose_control | sv, cl, rep | Default: false<br>
rate | a, user | Default: 786432<br>Min bytes/sec the host can receive data
report_cliententitysim | cl, cheat | Default: false<br>List all clientside simulations and time - will report and turn itself off.
report_simthinklist | sv | Lists all simulating/thinking entities
rr_debugresponses | sv, cl, rep | Default: 0<br>Show verbose matching output (1 for simple, 2 for rule scoring, 3 for noisy). If set to 4, it will only show response success/failure for npc_selected NPCs.
rtx_texture_resolution |  | Default: 512<br>Sets the texture resolution the raytracer will mark to stream in
run_voicecontainer_async |  | Default: false<br>
save_async | sv | Default: true<br>
save_fake_hitch | sv | Default: 0<br>Force a busy wait for the specified number of milliseconds during save to simulate a hitch
save_finish_async | sv | 
save_parallel | sv, cl, rep | Default: false<br>
sc_aggregate_gpu_culling |  | Default: true<br>Toggles GPU culling of aggregate meshes
sc_aggregate_gpu_culling_conservative_bounds |  | Default: false<br>
sc_aggregate_gpu_culling_show_culled |  | Default: false<br>SceneSystem/Aggregates/Show GPU Culled Meshes
sc_aggregate_gpu_occlusion_culling |  | Default: true<br>
sc_aggregate_gpu_vis_culling |  | Default: true<br>
sc_allow_dithered_lod |  | Default: true<br>Allow use of dithered lod transitions
sc_clutter_density_full_size |  | Default: 0.0075<br>Screen-size where clutter will be full density
sc_clutter_density_none_size |  | Default: 0.0035<br>Screen-size where clutter will be gone
sc_clutter_desity_override |  | Default: false<br>
sc_clutter_enable |  | Default: true<br>SceneSystem/Clutter/Draw Clutter
sc_disable_culling_boxes | cheat | Default: false<br>
sc_disable_shadow_fastpath | cheat | Default: false<br>
sc_disable_spotlight_shadows | cheat | Default: true<br>
sc_dithered_lod_transition_amt |  | Default: 0.075<br>Percentage of the transition between two lods we will apply a dither
sc_force_lod_level | cheat | Default: -1<br>
sc_instanced_gpu_culling_show_culled |  | Default: false<br>SceneSystem/Instanced/Show GPU Culled Meshlets
sc_instanced_mesh_gpu_culling |  | Default: true<br>Toggles GPU culling of instanced meshes
sc_instanced_mesh_gpu_density_culling |  | Default: true<br>Toggles density culling (if enabled)
sc_instanced_mesh_gpu_occlusion_culling |  | Default: true<br>Toggles GPU occlusion of instanced meshes
sc_instanced_mesh_gpu_vis_culling |  | Default: true<br>Toggles GPU vis of instanced meshes
sc_instanced_mesh_lod_bias |  | Default: 10<br>Bias for LOD selection of instanced meshes
sc_instanced_mesh_lod_bias_shadow |  | Default: 10<br>Bias for LOD selection of instanced meshes in shadowmaps
sc_instanced_mesh_size_cull_bias |  | Default: 10<br>Bias for size culling of instanced meshes
sc_instanced_mesh_size_cull_bias_shadow |  | Default: 10<br>Bias for size culling instanced meshes in shadowmaps
sc_mesh_backface_culling |  | Default: true<br>
sc_no_cull |  | Default: false<br>
sc_only_render_shadowcasters | cheat | Default: false<br>
sc_screen_size_lod_scale_override | cheat | Default: -1<br>
sc_shadow_depth_bias |  | Default: 256<br>
sc_shadow_depth_bias_clamp |  | Default: 0<br>
sc_shadow_depth_bias_state_override |  | Default: false<br>
sc_shadow_slopescale_depth_bias |  | Default: 2.13<br>
sc_show_texture_visualizer | cheat | Default: false<br>SceneSystem/Texture Visualizer
shadowcachedebugger_showdebugwindow | cl, a, rep, cheat | Default: false<br>Citadel/Graphics/Shadow Cache Debugger
skeleton_instance_lod_optimization | sv, cl, rep | Default: true<br>Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute
snd_async_flush |  | Flush all unlocked async audio data
snd_async_showmem |  | Show async memory stats
snd_async_showmem_music |  | Show async memory stats for just non-streamed music
snd_async_showmem_summary |  | Show brief async memory stats
snd_async_spew_blocking |  | Default: 0<br>Spew message to console any time async sound loading blocks on file i/o.
snd_boxverb_simd |  | Default: true<br>Enable SIMD code path for shoebox reverb processor.
snd_boxverb_simd_svf |  | Default: 1<br>0 = use biquad instead of svf, 1 = use vectorized svf, 2 = use scalar svf
snd_diffusor_simd |  | Default: false<br>Enable SIMD code path for diffusor processor.
snd_envelope_rate | cheat | Default: 100<br>
snd_mix_async | cheat | Default: true<br>
snd_opvar_set_point_update_interval_fast | sv, cl, rep | Default: 0.0333<br>
snd_sos_hide_simple_parameter_overwrite_warnings |  | Default: true<br>
snd_sos_print_fps | cheat | Default: false<br>
snd_soundmixer_update_maximum_frame_rate | cheat | Default: 0<br>
snd_steamaudio_halton_sequence | cheat | Generate Halton Sequence for a given order and number of samples.
snd_steamaudio_max_convolution_sources | cheat | Default: 4<br>The maximum number of simultaneous sources that can be modeled by Steam Audio.
snd_steamaudio_num_threads | cheat | Default: 2<br>Sets the number of threads used for realtime reflection by Steam Audio.
snd_steamaudio_pathing_order | cheat | Default: 1<br>The amount of directional detail in the simulated by Steam Audio.
snd_steamaudio_reverb_order |  | Default: 1<br>Ambisonics order to use for simulating reverb.
snd_steamaudio_reverb_update_rate |  | Default: 10<br>Set the maximum update rate (in Hz) for reverb.
snd_steamaudio_source_pathing_debug_duration |  | Default: 0.01<br>Duration for which path remains visible. Should be close to update rate of the sound operator stack.
soundsystem_update_async |  | Default: true<br>
sparseshadowtree_cascade_mask |  | Default: 4<br>Bitfield describing which cascades to generate/use SST for. (OR'd 1UL&lt;&lt;cascadeIndex, default is 1UL&lt;&lt;2 only, i.e. just cascade 2)
sparseshadowtree_copy_to_shadow_atlas_ps |  | Default: true<br>Copy layer from CS output to shadow atlas uses PS copy (vs CopyTexture).
sparseshadowtree_cs_debug_colors |  | Default: false<br>Output debug colors for SST CS.
sparseshadowtree_cs_exclude_next_cascade_region |  | Default: true<br>Exclude the inner region of a cascade during CS unpack if there is a higher resolution cascade that will cover that area.
sparseshadowtree_cs_unpack_mode |  | Default: 1<br>Unpack mode in cs, 0 - one leaf per thread (16 output pixels), 1 (default) - one leaf row per thread (4 output pixels), 2 - one pixel out per thread.
sparseshadowtree_debug_tile_range_xmax |  | Default: 1<br>SST Tile range for renderdoc/debug capturing.
sparseshadowtree_debug_tile_range_xmin |  | Default: 0<br>SST Tile range for renderdoc/debug capturing.
sparseshadowtree_debug_tile_range_ymax |  | Default: 1<br>SST Tile range for renderdoc/debug capturing.
sparseshadowtree_debug_tile_range_ymin |  | Default: 0<br>SST Tile range for renderdoc/debug capturing.
sparseshadowtree_disable_add_layers |  | Default: false<br>Disable SST runtime layers, for debugging (will exclude geo that CAN render into SST if SST otherwise enabled)
sparseshadowtree_disable_for_viewmodel |  | Default: true<br>Disable SST generation and runtime for viewmodel (use original CSM rendering).
sparseshadowtree_enable_rendering |  | Default: false<br>Enable use of SST at runtime (static geo rendered into cascades via SST).
sparseshadowtree_leaf_compress_scaleoffset |  | Default: true<br>Compress leaf node depths using scale & offset.
sparseshadowtree_leaf_precision |  | Default: 0.0004<br>precision for depth compression at SST leaf nodes.
sparseshadowtree_leaf_precision_viewmodel |  | Default: 0.0005<br>(viewmodel) precision for depth compression at SST leaf nodes.
sparseshadowtree_parallel_generation |  | Default: 2<br>Split SST tile generation into threadjobs (0 - disabled, 1 - wait on readpixels for job batch, 2 - async readpixels).
sparseshadowtree_plane_incr_per_step |  | Default: 0.0001<br>depth to increment candidate plane values per iteration to satisfy selection.
sparseshadowtree_plane_incr_per_step_viewmodel |  | Default: 0.0025<br>(viewmodel) depth to increment candidate plane values per iteration to satisfy selection.
sparseshadowtree_plane_max_error |  | Default: 0.0004<br>max error (distance away in depth) candidate plane is allowed before rejecting.
sparseshadowtree_plane_max_error_viewmodel |  | Default: 0.01<br>(viewmodel) max error (distance away in depth) candidate plane is allowed before rejecting.
sparseshadowtree_plane_num_iter |  | Default: 5<br>number of steps to push candidate plane behind depths.
sparseshadowtree_render_cables |  | Default: false<br>Render cables into SST.
sparseshadowtree_renderdoc_capture_generation |  | Default: false<br>Capture dual shadow maps during sparseshadowtree generation.
sparseshadowtree_unpack_direct_to_shadow_atlas |  | Default: false<br>unpack SST directly into shadow atlas cascade vs via staging texture PS copy (NOTE - rendersystem fix reqd for AMD + driver fix required for NV + VK only.
sparseshadowtree_uv_frac_offset_x |  | Default: 0<br>uv x offset during copy to cascade.
sparseshadowtree_uv_frac_offset_y |  | Default: 0<br>uv y offset during copy to cascade.
spec_replay_on_death | rep, release | Default: false<br>When &gt; 0, sets the mode whereas players see delayed replay, and are segregated into a domain of chat and voice separate from the alive players
spec_replay_rate_base | rep, release | Default: 1<br>Base time scale of Killer Replay.Experimental.
spec_replay_rate_limit | rep, release | Default: 3<br>Minimum allowable pause between replay requests in seconds
spec_replay_rate_slowdown | cl | Default: 1<br>The part of Killer Replay right before death is played at this rate
spec_replay_rate_slowdown_length | cl | Default: 0.5<br>The part of Killer Replay right before death is played at this rate
sv_accelerate | sv, cl, nf, rep, release | Default: 10<br>
sv_ag2_low_skel_lod | sv | Default: false<br>
sv_airaccelerate | sv, cl, nf, rep, release | Default: 10<br>
sv_bounce | sv, cl, nf, rep, release | Default: 0<br>Bounce multiplier for when physically simulated objects collide with other objects.
sv_clientrates |  | Show client rates.
sv_dev_simulate_gcdown | sv | &lt;state&gt; Turn on/off simulated GC communications failure (GC is down in a way that we know it is down)
sv_enable_delta_packing | release | Default: true<br>When enabled, this allows for entity packing to use the property changes for building up the data. This is many times faster, but can be disabled for error checking.
sv_fps_max |  | Default: 0<br>Dedicated server frame rate limiter. 0=tick rate. Only applies to the dedicated server.
sv_maxrate | rep, release | Default: 0<br>Max bandwidth rate allowed on server, 0 == unlimited
sv_maxupdaterate | sv, cl, rep, release | Default: 60<br>Maximum updates per second that the server will allow
sv_minrate | rep, release | Default: 98304<br>Min bandwidth rate allowed on server, 0 == unlimited
sv_minupdaterate | sv, cl, rep, release | Default: 10<br>Minimum updates per second that the server will allow
sv_noclipaccelerate | sv, cl, a, nf, rep | Default: 5<br>
sv_parallel_checktransmit | sv, release | Default: 0<br>Set to 1 to use threaded checkentities for transmit/pvs on listen servers, 2 for dedicated servers.
sv_parallel_packentities | release | Default: 2<br>Set to 1 to use threaded snapshot sending on listen servers, 2 for dedicated servers.
sv_parallel_prepare_client_updates |  | Default: false<br>
sv_parallel_sendsnapshot | release | Default: 2<br>0: run all send jobs on main thread; 1: send jobs run asynchronously (except on dedicated server); 2: send jobs asynchronously; 3: send jobs run in parallel but block to not overlap the next tick; 4: main server clients' send jobs run in parallel, then HLTV server jobs; this approximately matches pre-async profile for a single HLTV server configuration
sv_phys_async_buoyancy_update | sv, rep | Default: false<br>If true, server buoyancy motion controllers are updated in an async job after the tick has completed.
sv_phys_enabled | sv, cheat | Default: true<br>Enable all physics simulation
sv_pvs_shadows_include_env | sv, rep, release | Default: false<br>
sv_recipients_check | release | Default: true<br>When packing entities, check that recipient bits match for fast path packing.
sv_skyname | sv, cl, a, rep | Default: sky_urb01<br>Current name of the skybox texture
sv_specaccelerate | sv, cl, a, nf, rep | Default: 5<br>
sv_tags | nf, release | Default: <br>Server tags. Used to provide extra information to clients when they're browsing for servers. Separate tags with a comma.
sv_tick_parallel_with_client |  | Default: false<br>Runs the final server tick of the frame in parallel with client work
sv_wateraccelerate | sv, cl, nf, rep, release | Default: 10<br>
test_shipping_assert | release | Generate an assert to test shipping assertion code
thread_pool_option | release | Default: -1<br>Thread pool option
tv_instant_replay_full_frame_build_threaded |  | Default: false<br>Build the full frames on a seperate job thread
tv_maxrate | release | Default: 0<br>Max SourceTV spectator bandwidth rate allowed, 0 == unlimited
tv_playcast_slow_playback_when_fragment_requests_fail | release | Default: true<br>Whether or not we slow playback rate if we start running out of buffered stream fragments.
tv_rate_multiplier |  | Default: 2<br>Multiply requested rate by this value to adjust Dota TV send rate
tv_relay_rate |  | Default: 500000<br>default rate for relays
tv_relay_secret_code |  | Default: true<br>When enabled, this will use a uniquely generated server code to authenticate relay to relay connections. This code is coordinated via the GC or some external means rather than by clients directly
tv_secret_code |  | Default: true<br>When enabled, this will use a uniquely generated server code to authenticate relay connections. This code is coordinated via the GC or some external means rather than by clients directly
tv_snapshotrate | rep, release | Default: 20<br>Snapshots broadcast per second
tv_snapshotrate1 | release | Default: 32<br>Snapshots broadcast per second, GOTV\[1\]
tv_threaded_merge_entity_deltas |  | Default: true<br>Enable SourceTV threading of delta merging
volume_fog_debug_volumes | cheat | Default: false<br>
volume_fog_density_scale | cheat | Default: 1<br>Scale global volume fog density
volume_fog_depth |  | Default: 128<br>Depth of volume fog texture
volume_fog_depth_warp |  | Default: 7<br>
volume_fog_depth_warp_debug |  | Default: false<br>
volume_fog_dither_scale | cheat | Default: 1<br>
volume_fog_enable_jitter | cheat | Default: true<br>
volume_fog_height |  | Default: 160<br>Height of volume fog texture
volume_fog_intermediate_textures_hdr |  | Default: false<br>
volume_fog_shadow_penumbra_multiplier |  | Default: 3<br>Penumbra size multiplier for shadow sampling, reduces fog shadow aliasing
volume_fog_temporal_filter |  | Default: true<br>
volume_fog_temporal_weight |  | Default: 0.9<br>Temporal filtering weight
volume_fog_width |  | Default: 240<br>Width of volume fog texture
vprof_generate_report |  | Generate a report to the console.
vprof_generate_report_budget |  | Generate a report to the console based on budget group.
vprof_generate_report_hierarchy |  | Generate a report to the console.
